Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_v_final,n_v_initial,n_concepts,mean_final_cluster,dataset,is_unknown_or_isolate,passes_concept_threshold,has_family,has_abs_latitude,in_primary_sample,Macroarea,_macroarea_merge,macroarea_id_matched,has_macroarea,in_macroarea_sample,macroarea_exclusion_reason
TANGIR_SHINA,Indo-European,36.0,74.0,36.0,19,9,2,19,0.5789473684210527,ASJP,False,False,True,True,False,Eurasia,both,True,True,False,fewer_than_20_concepts
TANGKHUL_2,Sino-Tibetan,25.0,94.5,25.0,90,43,11,83,0.5222222222222223,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TANGKHUL_3,Sino-Tibetan,25.0,94.5,25.0,70,31,3,66,0.5571428571428572,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TANGKHUL_CENTRAL,ISOLATE_OR_UNKNOWN__TANGKHUL_CENTRAL,25.74,94.25,25.74,31,22,12,31,0.2903225806451613,ASJP,True,True,True,True,True,,left_only,False,False,False,no_macroarea_match_by_Language_ID
TANGKHUL_CHAMPUNG,Sino-Tibetan,25.0,94.5,25.0,31,20,0,31,0.3548387096774194,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TANGKHUL_NORTH,ISOLATE_OR_UNKNOWN__TANGKHUL_NORTH,25.74,94.25,25.74,31,26,3,31,0.16129032258064516,ASJP,True,True,True,True,True,,left_only,False,False,False,no_macroarea_match_by_Language_ID
TANGKO,Nuclear Trans New Guinea,-5.0,140.4,5.0,37,10,11,37,0.7297297297297297,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TANGMA_DANI,Nuclear Trans New Guinea,-4.42,138.42,4.42,40,20,23,38,0.5,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TANGNIAN_SUI,Tai-Kadai,25.88,107.84,25.88,84,39,0,84,0.5357142857142857,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TANGOA,Austronesian,-15.61,167.08,15.61,38,38,5,38,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
