Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Pidgin,1,1,1.0,1.0,152.0,9.33333,Lexibank,0.001049317943336831
Purari,1,1,1.0,1.0,99.0,7.59133,Lexibank,0.001049317943336831
Wiru,1,1,1.0,1.0,143.0,6.35863,Lexibank,0.001049317943336831
Yareban,1,1,1.0,1.0,257.0,9.50651,Lexibank,0.001049317943336831
Suki-Gogodala,2,1,0.5,0.9945652173913043,97.5,8.020265,Lexibank,0.001049317943336831
Teberan,2,1,0.5,0.9976190476190476,155.5,6.65765,Lexibank,0.001049317943336831
Cofán,3,1,0.3333333333333333,0.971153964332682,296.0,0.276675,Lexibank,0.001049317943336831
Fasu,3,1,0.3333333333333333,0.9965243950604282,163.0,6.62687,Lexibank,0.001049317943336831
Fuyug,3,1,0.3333333333333333,0.9535231873702834,194.0,8.6371,Lexibank,0.001049317943336831
Kwalean,3,1,0.3333333333333333,0.9946241208347746,236.0,9.695323333333333,Lexibank,0.001049317943336831
Ticuna-Yuri,3,1,0.3333333333333333,0.9464003265472728,125.0,3.6628899999999995,Lexibank,0.001049317943336831
Turama-Kikori,3,1,0.3333333333333333,0.9848039215686275,98.0,7.26166,Lexibank,0.001049317943336831
Urarina,3,1,0.3333333333333333,0.9811800274609209,192.0,4.44006,Lexibank,0.001049317943336831
Peba-Yagua,4,1,0.25,0.9179116482803423,304.0,3.42913,Lexibank,0.001049317943336831
Kru,5,1,0.2,0.9856191870135522,291.0,5.718688,Lexibank,0.001049317943336831
South Bird's Head,5,1,0.2,0.9564639023104424,193.0,2.08007,Lexibank,0.001049317943336831
Lakes Plain,17,1,0.058823529411764705,0.9498465530904494,219.0,2.941664117647059,Lexibank,0.001049317943336831
Cariban,26,1,0.038461538461538464,0.8744062770317526,279.0,4.888193461538462,Lexibank,0.001049317943336831
Abkhaz-Adyge,4,0,0.0,0.5681723636419601,624.0,43.80455,Lexibank,0.0
Abun,3,0,0.0,0.43517104505651005,190.0,0.57073,Lexibank,0.0
Ainu,14,0,0.0,0.5573726052350513,214.0,43.19891978571429,Lexibank,0.0
Algic,2,0,0.0,0.3963486454652532,191.0,50.19395,Lexibank,0.0
Alsea-Yaquina,1,0,0.0,0.24669603524229075,227.0,44.408,Lexibank,0.0
Amto-Musan,2,0,0.0,0.8783905514963467,100.0,4.087384999999999,Lexibank,0.0
Andaqui,1,0,0.0,0.9927007299270073,137.0,2.74999,Lexibank,0.0
Andoque,1,0,0.0,0.9333333333333333,195.0,0.53751,Lexibank,0.0
Anim,14,0,0.0,0.6019063655366651,193.5,7.013055714285714,Lexibank,0.0
Arafundi,1,0,0.0,0.4111111111111111,90.0,4.77763,Lexibank,0.0
Araucanian,5,0,0.0,0.6142229587378569,277.0,38.591519999999996,Lexibank,0.0
Atakapa,1,0,0.0,0.3269961977186312,263.0,30.9121,Lexibank,0.0
Athabaskan-Eyak-Tlingit,7,0,0.0,0.3300934324747083,195.0,49.87311428571429,Lexibank,0.0
Austroasiatic,184,0,0.0,0.21157439600242964,112.5,15.251375711956522,Lexibank,0.0
Baining,5,0,0.0,0.5080373168927019,266.0,4.649924,Lexibank,0.0
Bangime,2,0,0.0,0.9336614173228346,277.0,14.805800000000001,Lexibank,0.0
Barbacoan,14,0,0.0,0.7052401928289461,281.5,1.2403221428571427,Lexibank,0.0
Basque,4,0,0.0,0.5911098995871651,747.0,43.279025000000004,Lexibank,0.0
Berta,5,0,0.0,0.8574549041051005,188.0,10.023638199999999,Lexibank,0.0
Blue Nile Mao,1,0,0.0,0.7848605577689243,251.0,9.82554,Lexibank,0.0
Bogaya,1,0,0.0,0.865979381443299,194.0,5.54487,Lexibank,0.0
Bookkeeping,9,0,0.0,0.5235356853662252,464.0,22.663150375555556,Lexibank,0.0
Border,7,0,0.0,0.5250850758933489,106.0,3.2134014285714287,Lexibank,0.0
Bunaban,3,0,0.0,0.8962552155528486,190.0,18.214766666666666,Lexibank,0.0
Burushaski,11,0,0.0,0.35273232389839654,203.0,36.32879169090909,Lexibank,0.0
Caddoan,1,0,0.0,0.2633587786259542,262.0,36.2862,Lexibank,0.0
Cahuapanan,3,0,0.0,0.3799124551101247,178.0,5.5594833333333336,Lexibank,0.0
Camsá,3,0,0.0,0.9528621782604914,194.0,1.14537,Lexibank,0.0
Candoshi-Shapra,3,0,0.0,0.8922658507564168,212.0,4.23835,Lexibank,0.0
Canichana,1,0,0.0,0.8735632183908046,87.0,14.3058,Lexibank,0.0
Cayubaba,2,0,0.0,0.9815531703866587,688.5,13.2482,Lexibank,0.0
Central Sudanic,2,0,0.0,0.8808009690362631,230.0,10.4589,Lexibank,0.0
Chapacuran,10,0,0.0,0.35885960813030304,126.0,10.863024,Lexibank,0.0
Chibchan,34,0,0.0,0.8293114477062379,110.0,9.51004294117647,Lexibank,0.0
Chicham,10,0,0.0,0.49339566697591986,255.0,4.173958000000001,Lexibank,0.0
