Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
ISOLATE_OR_UNKNOWN__CUICA,1,0.0,0.0,0.0,1.0,0.0,1.0
Cuitlatec,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__CUNG,1,0.0,0.0,0.0,1.0,0.0,1.0
Dibiyaso,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__DJADJALA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__DONGO_KRESH,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__DORASQUE,1,0.0,0.0,0.0,1.0,0.0,1.0
Doso-Turumsa,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__DOTHRAKI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__DOUIRET_BERBER,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__DYARIM,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__EAST_TUSOM,1,0.0,0.0,0.0,1.0,0.0,1.0
Elamite,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__ESMERALDENYO,1,0.0,0.0,0.0,1.0,0.0,1.0
Esselen,1,0.0,0.0,0.0,1.0,0.0,1.0
Etruscan,1,0.0,0.0,0.0,1.0,0.0,1.0
East Kutubu,1,0.0,0.0,0.0,1.0,0.0,1.0
Gaagudju,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GANDANGARA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GUACHI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GUAMO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GUARANI_ANTIGO,1,0.0,0.0,0.0,1.0,0.0,1.0
Gule,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GUYAMBAL,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GWARA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GYANNZI_GEEJI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__GYANNZI_GEEJI_2,1,0.0,0.0,0.0,1.0,0.0,1.0
Coosan,1,0.0,0.0,0.0,0.0,0.0,1.0
Hatam-Mansim,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__HELSINKI_STADIN_SLANGI,1,0.0,0.0,0.0,1.0,0.0,1.0
Hruso,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__IDO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__INTERLINGUA,1,0.0,0.0,0.0,1.0,0.0,1.0
Irántxe-Münkü,1,0.0,0.0,0.0,1.0,0.0,1.0
Jalaa,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__JAPHUG,1,0.0,0.0,0.0,1.0,0.0,1.0
Jicaquean,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KABONGLO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KABRANG_TANGKHUL,1,0.0,0.0,0.0,1.0,0.0,1.0
Kamakanan,1,0.0,0.0,0.0,1.0,0.0,1.0
Camsá,1,0.0,0.0,0.0,1.0,0.0,1.0
Kanoê,1,0.0,0.0,0.0,1.0,0.0,1.0
Karami,1,0.0,0.0,0.0,1.0,0.0,1.0
Karankawa,1,0.0,0.0,0.0,1.0,0.0,1.0
Karuk,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KATHLAMET,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KAWA,1,0.0,0.0,0.0,1.0,0.0,1.0
Kenaboi,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KERAMIN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KHOONG_GOOE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KITANEMUK,1,0.0,0.0,0.0,0.0,0.0,1.0
Klamath-Modoc,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KLINGON,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KROTMAG_KLINGON,1,0.0,0.0,0.0,0.0,0.0,1.0
Kujarge,1,0.0,0.0,0.0,1.0,0.0,1.0
Kungarakany,1,0.0,0.0,0.0,1.0,0.0,1.0
Kunza,1,0.0,0.0,0.0,1.0,0.0,1.0
Kuot,1,0.0,0.0,0.0,1.0,0.0,1.0
Kutenai,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__KWANKA,1,0.0,0.0,0.0,1.0,0.0,1.0
Laal,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__LAIRAMLO,1,0.0,0.0,0.0,1.0,0.0,1.0
Laragia,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__LATE_EGYPTIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
Lavukaleve,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__LAZE,1,0.0,0.0,0.0,1.0,0.0,1.0
Leco,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__LEN_1,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__LEN_2,1,0.0,0.0,0.0,1.0,0.0,1.0
Limilngan-Wulna,1,0.0,0.0,0.0,1.0,0.0,1.0
Lule,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MANGGHUER,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MANSIM,1,0.0,0.0,0.0,1.0,0.0,1.0
Marrku-Wurrugu,1,0.0,0.0,0.0,1.0,0.0,1.0
Massep,1,0.0,0.0,0.0,1.0,0.0,1.0
Mawes,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MBOANDEM,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MIDDLE_EGYPTIAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MIISIIRII_TAMA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MILANG,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MILLCAYAC,1,0.0,0.0,0.0,1.0,0.0,1.0
Mochica,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MOLET,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MOMI_YADIM,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MORSKA_KLINGON,1,0.0,0.0,0.0,1.0,0.0,1.0
Mosetén-Chimané,1,0.0,0.0,0.0,1.0,0.0,1.0
Movima,1,0.0,0.0,0.0,1.0,0.0,1.0
Mpur,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__MUKLOM_TANGSA,1,0.0,0.0,0.0,1.0,0.0,1.0
Muniche,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NABIT,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_ACAXOCHITLAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_AMILCINGO_ZACUALPAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_AXOCHIAPAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_AYOTOXCO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_CHICHIQUILA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_CHIGNAUTLA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_CHILOCOYO_HUEHUETLA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_CHINANCAHUATL_ZACUALTIPAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_COYOTEPEC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_CUAMELCO_TIANGUISTENGO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_HUEYAPAN_TETELA_DEL_VOLCAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_HUEYATI_YAHUALICA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_IXHUATLAN_DE_MADERO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_IXTACAMAXTITLAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_JALATLACO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_JICOCINGO_ZACATLAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_LAS_BALSAS,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_MONTEGRANDE_PLATON_SANCHEZ,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_QUETZALAPA_AZOYU,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_REYES_DE_VALLARTA_TUZAMAPAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_SANTA_ANA_TLACOTENCO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_SANTA_MARIA_TEOPOXCO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_SAN_FRANCISCO_TLALNEPANTLA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_SAN_JERONINO_AMANALCO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_SAN_PEDRO_JICORA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_XAALITLA_TEPECUAUILCO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_XALATZALA_TLAPA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_XALPATLAHUAC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_XILITLA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_XOCHIATIPAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_XOXOCOTLA_PUENTE_DE_IXTLA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAHUATL_ZAHUASTIPAN_SAN_AUGUSTIN_METZQUITITLAN,1,0.0,0.0,0.0,1.0,0.0,1.0
Nara,1,0.0,0.0,0.0,1.0,0.0,1.0
Natchez,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NATI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NAVI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NDRE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__NESE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__OGADEN_ARABIC,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__OLD_LOW_FRANCONIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__OLD_OR_MIDDLE_JAVANESE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__OMEO,1,0.0,0.0,0.0,1.0,0.0,1.0
Omurano,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__OTOMACO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PALEWYAMI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PAYAGUA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PAZEH,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PAZIH,1,0.0,0.0,0.0,1.0,0.0,1.0
Pele-Ata,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PIMENTEIRA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__POLCI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_AGAW,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_AINU,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_ASMAT,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_AUSTRONESIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_AUSTRONESIAN_2,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_AUSTRONESIAN_3,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_BIU_MANDARA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_BODO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_CENTRAL_EASTERN_MALAYO_POLYNESIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_CENTRAL_MALAYO_POLYNESIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_CENTRAL_MALAYO_POLYNESIAN_2,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_CENTRAL_MANDE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_CHATINO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_CHOLAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_CHUKOTKO_KAMCHATKAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_DAJU,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_EASTERN_HMONG,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_EASTERN_MAKU,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_GBAYA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_GERMANIC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_GREATER_QANJOBALAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_GREATER_QUICHEAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_GREATER_TZELTALAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_HIGHLAND_EAST_CUSHITIC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_HINDKO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_HMONG,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_HUASTECAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_INDO_EUROPEAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_INDO_EUROPEAN_2,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_INDO_EUROPEAN_3,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_IU_MIEN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_KADAI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_KARTVELIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_KARTVELIAN_2,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_KIM_MUN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_LAKKJA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_LAMPUNG,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_LOWER_CROSS,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MAA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MALAYO_POLYNESIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MALAYO_POLYNESIAN_2,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MAMEAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MARIC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MAYAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MIEN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MINAHASAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_MIXE_ZOQUE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_NORTHERN_HINDKO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_OCEANIC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_OCEANIC_2,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_OCEANIC_3,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_ONGAMO_MAA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_PALAWAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_PANO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_POLYNESIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_PUYUMA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_QUECHUA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_SAM,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_SOUTHERN_HINDKO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_SOUTHERN_MINDANAO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_SOUTHWESTERN_MANDE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_TANI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_TIBETO_BURMAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_TIBETO_BURMAN_2,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_TOGO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_TRUKIC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_TUPI_GUARANI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_TZELTALAN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_UKAAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_WESTERN_HMONG,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_WESTERN_PUNJABI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_WESTERN_TIBETAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_WEST_A_HMONG,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_WINTUN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_YENISEIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__PROTO_YUCATECAN_MAYAN,1,0.0,0.0,0.0,0.0,0.0,1.0
Puquina,1,0.0,0.0,0.0,1.0,0.0,1.0
Purari,1,0.0,0.0,0.0,1.0,0.0,1.0
Puri-Coroado,1,0.0,0.0,0.0,1.0,0.0,1.0
Kawesqar,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__QUENYA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SAIHRIEM,1,0.0,0.0,0.0,1.0,0.0,1.0
Salinan,1,0.0,0.0,0.0,1.0,0.0,1.0
Sandawe,1,0.0,0.0,0.0,1.0,0.0,1.0
Sapé,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SARDINIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SAR_INDONESIA,1,0.0,0.0,0.0,1.0,0.0,1.0
Sause,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SENGMAI,1,0.0,0.0,0.0,1.0,0.0,1.0
Seri,1,0.0,0.0,0.0,0.0,0.0,1.0
Shabo,1,0.0,0.0,0.0,1.0,0.0,1.0
Shom Peng,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SINDARIN,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SITI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SITU,1,0.0,0.0,0.0,1.0,0.0,1.0
Siuslaw,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SLOVIO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SLOVIO_2,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SOLRESOL,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__SORBUNG,1,0.0,0.0,0.0,1.0,0.0,1.0
Sumerian,1,0.0,0.0,0.0,1.0,0.0,1.0
Takelma,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TAKEV_KLINGON,1,0.0,0.0,0.0,0.0,0.0,1.0
Tambora,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TANGKHUL_CENTRAL,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TANGKHUL_NORTH,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TAPARITA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TAPE,1,0.0,0.0,0.0,1.0,0.0,1.0
Taulil-Butam,1,0.0,0.0,0.0,1.0,0.0,1.0
Taushiro,1,0.0,0.0,0.0,1.0,0.0,1.0
Lafofa,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TEQUIXISTLAN_CHONTAL,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TIEFO_NYAFOGO,1,0.0,0.0,0.0,1.0,0.0,1.0
Ticuna-Yuri,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TOKI_PONA,1,0.0,0.0,0.0,1.0,0.0,1.0
Tonkawa,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TOTONAC_COATEPEC,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TOTONAC_OLINTLA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TOTONAC_OZELONACAXTLA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TOTONAC_TEJERIA,1,0.0,0.0,0.0,1.0,0.0,1.0
Trumai,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TSHOBDUN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TULAMNI,1,0.0,0.0,0.0,0.0,0.0,1.0
Tunica,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__TZOTZIL_ZINACANTAN_1600,1,0.0,0.0,0.0,0.0,0.0,1.0
