Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
East Bird's Head,5,0.0,0.0,0.0,0.2,0.0,1.0
Baibai-Fas,4,0.0,0.0,0.0,0.5,0.0,1.0
Misumalpan,4,0.0,0.0,0.0,0.5,0.0,1.0
Kakua-Nukak,4,0.0,0.0,0.0,0.25,0.0,1.0
Uru-Chipaya,4,0.0,0.0,0.0,0.5,0.0,1.0
Naduhup,4,0.0,0.0,0.0,0.0,0.0,1.0
Elseng,4,0.0,0.0,0.0,0.0,0.0,1.0
Huavean,4,0.0,0.0,0.0,0.0,0.0,1.0
Maban,4,0.0,0.0,0.0,0.25,0.0,1.0
Sahaptian,4,0.0,0.0,0.0,0.25,0.0,1.0
Yukaghir,4,0.0,0.0,0.0,0.25,0.0,1.0
Konda-Yahadian,4,0.0,0.0,0.0,0.75,0.0,1.0
Kwomtari-Nai,4,0.5,0.5,0.0,1.0,0.0,0.5375
Nambiquaran,4,0.0,0.0,0.0,0.5,0.0,1.0
Bogia,4,0.25,0.25,0.0,0.75,0.0,0.5141666666666667
Maiduan,4,0.0,0.0,0.0,0.25,0.0,1.0
Araucanian,4,0.0,0.0,0.0,0.25,0.0,1.0
Somahai,4,0.25,0.25,0.0,0.75,0.0,0.7208333333333333
Chapacuran,4,0.0,0.0,0.0,0.25,0.0,1.0
Southern Daly,4,0.0,0.0,0.0,0.5,0.0,1.0
Kalapuyan,4,0.0,0.0,0.0,0.25,0.0,1.0
Peba-Yagua,4,0.0,0.0,0.0,0.5,0.0,1.0
Pahoturi,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Furan,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Senagi,3,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.5575
Amto-Musan,3,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.6341666666666667
Iwaidjan Proper,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Tamaic,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Bayono-Awbono,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Zamucoan,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Bangime,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Wadjiginy,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
South Bougainville,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Chinookan,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Tsimshian,3,0.0,0.0,0.0,0.0,0.0,1.0
Gumuz,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Giimbiyu,3,0.0,0.0,0.0,0.0,0.0,1.0
Fuyug,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Garrwan,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Koreanic,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Eastern Daly,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Maybratic,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Katla-Tima,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Mombum-Koneraw,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Saliban,3,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.525
Mor (Bomberai Peninsula),3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
