Family,n_languages,n_words,mean_abs_latitude
Molof,2,180,3.42
Molale,2,139,44.5
Muno,2,122,3.5
Papi,2,117,4.5
Pawaia,2,134,7.0
Rashad,2,144,11.82
Puelche,2,89,41.0
Puinave,2,143,4.0
Páez,2,143,2.67
Kresh-Aja,2,135,7.69
Kibiri,2,116,7.42
Kimki,2,214,4.25
Lencan,2,102,13.915
Jarrakan,2,83,16.585
Jarawa-Onge,2,86,11.375
Kusunda,2,80,28.0
Kapori,2,78,3.5
Duna,2,132,5.5
Dem,2,128,3.67
Cahuapanan,2,78,5.46
Bunaban,2,72,18.11
Chimakuan,2,93,47.915
Fasu,2,149,6.58
Palaihnihan,2,198,41.125
North Bougainville,2,92,5.915
Odiai,2,124,3.83
Northern Daly,2,58,13.21
Nyimang,2,232,12.32
Ongota,2,142,5.33
Yokutsan,2,59,36.08
Unclassifiable,2,50,26.5
Artificial Language,2,76,31.255
Aikanã,1,109,12.67
Alsea-Yaquina,1,131,44.67
Andaqui,1,37,1.0
Andoque,1,29,0.67
Anem,1,107,5.58
Arutani,1,40,4.0
Atakapa,1,55,30.0
Beothuk,1,52,48.0
Wageman,1,51,14.0
Waorani,1,39,1.0
Warao,1,102,9.33
Wiru,1,99,6.42
Xincan,1,63,14.2
Yana,1,130,40.5
Yele,1,56,11.37
Yuchi,1,40,35.75
Yámana,1,42,55.0
Máku,1,30,3.42
Nara,1,102,15.08
Natchez,1,48,31.75
North-Eastern Tasmanian,1,22,41.33
Omurano,1,23,4.92
Pankararú,1,13,9.0
Lule,1,45,27.45
Marrku-Wurrugu,1,40,11.08
Massep,1,98,1.75
Mawes,1,107,2.17
Mochica,1,39,7.5
Mosetén-Chimané,1,32,14.75
Movima,1,102,13.83
Mpur,1,110,0.75
Muniche,1,60,5.83
Pele-Ata,1,121,5.67
Pirahã,1,91,7.0
Pumé,1,39,7.0
Puquina,1,39,15.84
Purari,1,97,7.58
Puri-Coroado,1,31,19.5
Salinan,1,61,36.0
Sandawe,1,35,5.0
Sapé,1,30,5.0
Sause,1,45,3.17
Savosavo,1,89,9.13
Kujarge,1,53,11.75
Kungarakany,1,46,12.0
Kunza,1,62,23.0
Kuot,1,40,3.05
Kutenai,1,110,49.5
Kwaza,1,42,12.58
Laal,1,34,10.0
Lafofa,1,100,10.25
Laragia,1,32,12.67
Lavukaleve,1,38,9.08
Leco,1,41,16.0
Limilngan-Wulna,1,33,12.5
Jicaquean,1,113,14.67
Kaki Ae,1,106,8.0
Kamakanan,1,21,11.53
Kanoê,1,39,13.33
Karami,1,39,7.13
Karankawa,1,83,28.0
Karuk,1,133,41.67
Kawesqar,1,41,49.0
Kenaboi,1,30,2.37
Klamath-Modoc,1,107,42.5
Seri,1,119,29.0
Shabo,1,50,7.58
Shom Peng,1,40,7.0
Siuslaw,1,124,44.0
Sumerian,1,47,31.32
Takelma,1,106,42.5
Tambora,1,32,8.25
Tanahmerah,1,70,2.67
Taruma,1,16,0.91
Gaagudju,1,35,12.62
Guató,1,38,17.0
Gule,1,20,11.5
Hadza,1,47,3.75
Hatam-Mansim,1,114,1.0
Hibito-Cholon,1,43,8.0
Hruso,1,38,27.27
Irántxe-Münkü,1,34,13.0
Itonama,1,45,12.83
Jalaa,1,50,9.59
Coahuilteco,1,23,28.0
Cofán,1,49,0.17
Comecrudan,1,119,24.0
Coosan,1,110,43.5
Cotoname,1,40,25.91
Cuitlatec,1,44,17.5
Dibiyaso,1,91,7.75
Doso-Turumsa,1,67,7.58
East Kutubu,1,102,6.5
Elamite,1,48,33.63
Esselen,1,28,36.25
Etruscan,1,33,41.9
Fulniô,1,32,8.0
Bogaya,1,95,5.75
Camsá,1,47,1.17
Candoshi-Shapra,1,37,4.17
Canichana,1,45,16.71
Cayubaba,1,65,13.5
Cayuse,1,80,46.11
Chiquitano,1,68,17.5
Taushiro,1,35,2.5
Ticuna-Yuri,1,33,4.0
Timucua,1,134,30.25
Tiwi,1,151,11.5
Tonkawa,1,34,30.25
Trumai,1,86,11.92
Tunica,1,41,32.67
Umbugarla,1,42,13.0
Urarina,1,29,4.0
Vilela,1,45,27.33
Abinomn,1,58,3.0
Zuni,1,93,35.08
