Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_concepts,is_unknown_or_isolate,macroarea_id_matched,Macroarea,macroarea_exclusion_reason
PROTO_INDO_EUROPEAN,ISOLATE_OR_UNKNOWN__PROTO_INDO_EUROPEAN,43.0,35.0,43.0,48,40,True,False,,no_macroarea_match_by_Language_ID
PROTO_INDO_EUROPEAN_2,ISOLATE_OR_UNKNOWN__PROTO_INDO_EUROPEAN_2,43.0,35.0,43.0,53,40,True,False,,no_macroarea_match_by_Language_ID
PROTO_INDO_EUROPEAN_3,ISOLATE_OR_UNKNOWN__PROTO_INDO_EUROPEAN_3,43.0,35.0,43.0,57,38,True,False,,no_macroarea_match_by_Language_ID
PROTO_IU_MIEN,ISOLATE_OR_UNKNOWN__PROTO_IU_MIEN,24.55,108.55,24.55,38,36,True,False,,no_macroarea_match_by_Language_ID
PROTO_JIVAROAN,ISOLATE_OR_UNKNOWN__PROTO_JIVAROAN,-5.0,-78.0,5.0,22,22,True,False,,no_macroarea_match_by_Language_ID
PROTO_KADAI,ISOLATE_OR_UNKNOWN__PROTO_KADAI,22.12,105.52,22.12,49,37,True,False,,no_macroarea_match_by_Language_ID
PROTO_KARTVELIAN,ISOLATE_OR_UNKNOWN__PROTO_KARTVELIAN,43.0,42.5,43.0,43,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_KARTVELIAN_2,ISOLATE_OR_UNKNOWN__PROTO_KARTVELIAN_2,43.0,45.0,43.0,64,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_KIM_MUN,ISOLATE_OR_UNKNOWN__PROTO_KIM_MUN,23.18,105.55,23.18,39,36,True,False,,no_macroarea_match_by_Language_ID
PROTO_LAKKJA,ISOLATE_OR_UNKNOWN__PROTO_LAKKJA,24.11,110.11,24.11,28,28,True,False,,no_macroarea_match_by_Language_ID
PROTO_LAMPUNG,ISOLATE_OR_UNKNOWN__PROTO_LAMPUNG,-5.45,104.95,5.45,48,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_LOWER_CROSS,ISOLATE_OR_UNKNOWN__PROTO_LOWER_CROSS,5.0,8.0,5.0,36,35,True,False,,no_macroarea_match_by_Language_ID
